Frequency,Output Voltage,Gain (dB)
10.0,10.4,0.0
20.0,10.4,0.0
50.0,10.2,-0.16866335073725724
100.0,10.0,-0.3406667859756079
150.0,9.5,-0.786194680198652
200.0,9.0,-1.2558165971891102
250.0,8.5,-1.7522882716897525
300.0,7.72,-2.5883207792608856
310.0,7.62,-2.7015673591835974
320.0,7.5,-2.839441518141606
330.0,7.38,-2.9795395495147767
340.0,7.3,-3.0742095835664895
350.0,7.18,-3.2181779011296
360.0,7.08,-3.3400016321802264
370.0,7.0,-3.438705985690471
380.0,6.89,-3.576282347823091
400.0,6.69,-3.8321444306191443
500.0,5.85,-4.997549464331998
800.0,4.06,-8.170146114431725
1000.0,3.38,-9.762332780422513
2000.0,1.81,-15.187095288591916
5000.0,0.8,-22.278867046136735
10000.0,0.355,-29.336099724873726
20000.0,0.182,-35.13923902627411
50000.0,0.076,-42.72439494035978
100000.0,0.037,-48.97663230463571
200000.0,0.018,-55.235216683909485
500000.0,0.008,-62.27886704613674
