Frequency,Output Voltage,Phase Shift,Gain (dB)
10.0,10.3,-1.24,0.0
20.0,10.3,-5.0,0.0
50.0,10.2,-10.0,-0.08474105886509382
100.0,10.0,-18.0,-0.25674449410344496
150.0,9.5,-25.0,-0.7022723883264894
200.0,9.0,-30.0,-1.171894305316947
250.0,8.4,-37.0,-1.7711587728658111
300.0,7.9,-41.0,-2.3042026682946157
310.0,7.7,-43.0,-2.526929990653807
320.0,7.65,-43.0,-2.583515791031092
330.0,7.6,-44.0,-2.640472648487618
340.0,7.45,-45.0,-2.813619039137587
350.0,7.4,-45.5,-2.87211009948392
360.0,7.25,-46.5,-3.0499843626835714
370.0,7.2,-47.5,-3.1100945654780747
380.0,7.1,-48.0,-3.2315775197219394
400.0,6.9,-50.0,-3.4797626793583376
500.0,5.87,-55.0,-4.883982469151155
800.0,4.1,-65.0,-8.001067359708735
1000.0,3.46,-70.0,-9.475222518247913
2000.0,1.85,-79.0,-14.913309926043167
5000.0,0.71,-85.0,-23.231577519721938
10000.0,0.356,-87.0,-29.227744534645943
20000.0,0.177,-89.0,-35.29727916686731
50000.0,0.072,-90.0,-43.11009456547808
